Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Mother tongue,          Cree-Montagnais languages,,0,,0,,0
Mother tongue,            Atikamekw,,0,,0,,0
Mother tongue,            Montagnais (Innu),,0,,0,,0
Mother tongue,            Moose Cree,,0,,0,,0
Mother tongue,            Naskapi,,0,,0,,0
Mother tongue,            Northern East Cree,,0,,0,,0
Mother tongue,            Plains Cree,,0,,0,,0
Mother tongue,            Southern East Cree,,0,,0,,0
Mother tongue,            Swampy Cree,,0,,0,,0
Mother tongue,            Woods Cree,,0,,0,,0
Mother tongue,            Cree; n.o.s.,,0,,0,,0
Mother tongue,          Eastern Algonquian languages,,0,,0,,0
Mother tongue,            Malecite,,0,,0,,0
Mother tongue,            Mi'kmaq,,0,,0,,0
Mother tongue,          Ojibway-Potawatomi languages,,5,,5,,5
Mother tongue,            Algonquin,,0,,0,,0
Mother tongue,            Ojibway,,5,,0,,0
Mother tongue,            Oji-Cree,,0,,0,,0
Mother tongue,            Ottawa (Odawa),,0,,0,,0
Mother tongue,          Algonquian languages; n.i.e.,,0,,0,,0
Mother tongue,        Athabaskan languages,,0,,0,,0
Mother tongue,          Northern Athabaskan languages,,0,,0,,0
Mother tongue,            Babine (Wetsuwet'en),,0,,0,,0
Mother tongue,            Beaver,,0,,0,,0
Mother tongue,            Carrier,,0,,0,,0
Mother tongue,            Chilcotin,,0,,0,,0
Mother tongue,            Dene,,0,,0,,0
Mother tongue,            Dogrib (Tlicho),,0,,0,,0
Mother tongue,            Gwich'in,,0,,0,,0
Mother tongue,            Sarsi (Sarcee),,0,,0,,0
Mother tongue,            Sekani,,0,,0,,0
Mother tongue,            Slavey-Hare languages,,0,,0,,0
Mother tongue,              North Slavey (Hare),,0,,0,,0
Mother tongue,              South Slavey,,0,,0,,0
Mother tongue,              Slavey; n.o.s.,,0,,0,,0
Mother tongue,            Tahltan languages,,0,,0,,0
Mother tongue,              Kaska (Nahani),,0,,0,,0
Mother tongue,              Tahltan,,0,,0,,0
Mother tongue,            Tutchone languages,,0,,0,,0
Mother tongue,              Northern Tutchone,,0,,0,,0
Mother tongue,              Southern Tutchone,,0,,0,,0
Mother tongue,          Athabaskan languages; n.i.e.,,0,,0,,0
Mother tongue,        Haida,,0,,0,,0
Mother tongue,        Inuit languages,,0,,0,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,,0,,0
Mother tongue,          Inuktitut,,0,,0,,0
Mother tongue,          Inuit languages; n.i.e.,,0,,0,,0
Mother tongue,        Iroquoian languages,,0,,0,,0
Mother tongue,          Cayuga,,0,,0,,0
Mother tongue,          Mohawk,,0,,0,,0
Mother tongue,          Oneida,,0,,0,,0
Mother tongue,          Iroquoian languages; n.i.e.,,0,,0,,0
Mother tongue,        Kutenai,,0,,0,,0
Mother tongue,        Michif,,0,,0,,0
Mother tongue,        Salish languages,,0,,0,,0
Mother tongue,          Comox,,0,,0,,0
Mother tongue,          Halkomelem,,0,,0,,0
Mother tongue,          Lillooet,,0,,0,,0
Mother tongue,          Okanagan,,0,,0,,0
Mother tongue,          Shuswap (Secwepemctsin),,0,,0,,0
Mother tongue,          Squamish,,0,,0,,0
Mother tongue,          Straits,,0,,0,,0
Mother tongue,          Thompson (Ntlakapamux),,0,,0,,0
Mother tongue,          Salish languages; n.i.e.,,0,,0,,0
Mother tongue,        Siouan languages,,0,,0,,0
Mother tongue,          Dakota,,0,,0,,0
Mother tongue,          Stoney,,0,,0,,0
Mother tongue,          Siouan languages; n.i.e.,,0,,0,,0
Mother tongue,        Tlingit,,0,,0,,0
Mother tongue,        Tsimshian languages,,0,,0,,0
Mother tongue,          Gitxsan (Gitksan),,0,,0,,0
Mother tongue,          Nisga'a,,0,,0,,0
Mother tongue,          Tsimshian,,0,,0,,0
Mother tongue,        Wakashan languages,,0,,0,,0
Mother tongue,          Haisla,,0,,0,,0
Mother tongue,          Heiltsuk,,0,,0,,0
Mother tongue,          Kwakiutl (Kwak'wala),,0,,0,,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0,,0,,0
Mother tongue,          Wakashan languages; n.i.e.,,0,,0,,0
Mother tongue,        Aboriginal languages; n.o.s.,,5,,0,,5
Mother tongue,      Non-Aboriginal languages,,152575,,72295,,80280
Mother tongue,        Afro-Asiatic languages,,10110,,5140,,4975
Mother tongue,          Berber languages,,0,,0,,0
Mother tongue,            Kabyle,,0,,0,,0
Mother tongue,            Berber languages; n.i.e.,,0,,5,,0
Mother tongue,          Cushitic languages,,90,,45,,50
Mother tongue,            Bilen,,0,,0,,0
Mother tongue,            Oromo,,5,,5,,0
Mother tongue,            Somali,,80,,40,,40
Mother tongue,            Cushitic languages; n.i.e.,,0,,0,,0
Mother tongue,          Semitic languages,,10015,,5090,,4925
Mother tongue,            Amharic,,100,,45,,50
Mother tongue,            Arabic,,2960,,1485,,1480
Mother tongue,            Assyrian Neo-Aramaic,,1535,,740,,800
Mother tongue,            Chaldean Neo-Aramaic,,480,,245,,235
Mother tongue,            Harari,,0,,0,,0
Mother tongue,            Hebrew,,4530,,2385,,2145
Mother tongue,            Maltese,,190,,95,,100
Mother tongue,            Tigrigna,,105,,50,,55
Mother tongue,            Semitic languages; n.i.e.,,105,,45,,60
Mother tongue,          Afro-Asiatic languages; n.i.e.,,5,,0,,0
Mother tongue,        Austro-Asiatic languages,,4730,,2125,,2600
Mother tongue,          Khmer (Cambodian),,425,,215,,210
Mother tongue,          Vietnamese,,4300,,1910,,2390
Mother tongue,          Austro-Asiatic languages; n.i.e,,5,,0,,0
Mother tongue,        Austronesian languages,,5305,,1885,,3420
Mother tongue,          Bikol,,5,,0,,5
Mother tongue,          Cebuano,,85,,30,,50
Mother tongue,          Fijian,,0,,0,,5
Mother tongue,          Hiligaynon,,45,,15,,30
Mother tongue,          Ilocano,,385,,155,,230
Mother tongue,          Malagasy,,0,,0,,0
Mother tongue,          Malay,,140,,55,,80
Mother tongue,          Pampangan (Kapampangan; Pampango),,15,,10,,5
Mother tongue,          Pangasinan,,15,,5,,5
Mother tongue,          Tagalog (Pilipino; Filipino),,4595,,1600,,3000
Mother tongue,          Waray-Waray,,5,,5,,5
Mother tongue,          Austronesian languages; n.i.e.,,20,,10,,10
Mother tongue,        Creole languages,,85,,40,,50
Mother tongue,          Haitian Creole,,0,,0,,0
Mother tongue,          Creole; n.o.s.,,60,,25,,35
Mother tongue,          Creole languages; n.i.e.,,25,,10,,15
Mother tongue,        Dravidian languages,,3865,,1895,,1975
Mother tongue,          Kannada,,45,,25,,20
Mother tongue,          Malayalam,,380,,180,,200
Mother tongue,          Tamil,,3295,,1615,,1680
Mother tongue,          Telugu,,135,,75,,65
Mother tongue,          Dravidian languages; n.i.e.,,5,,0,,0
Mother tongue,        Hmong-Mien languages,,0,,0,,0
Mother tongue,        Indo-European languages,,104205,,49710,,54490
Mother tongue,          Albanian,,930,,460,,470
Mother tongue,          Armenian,,665,,320,,345
Mother tongue,          Balto-Slavic languages,,25665,,12020,,13645
Mother tongue,            Baltic languages,,170,,75,,95
Mother tongue,              Latvian,,45,,15,,30
Mother tongue,              Lithuanian,,130,,60,,65
Mother tongue,            Slavic languages,,25495,,11945,,13550
Mother tongue,              Belarusan,,30,,15,,20
Mother tongue,              Bosnian,,65,,30,,30
Mother tongue,              Bulgarian,,290,,130,,160
Mother tongue,              Croatian,,550,,265,,290
Mother tongue,              Czech,,85,,35,,50
Mother tongue,              Macedonian,,365,,160,,205
Mother tongue,              Polish,,1595,,715,,875
Mother tongue,              Russian,,20685,,9780,,10905
Mother tongue,              Serbian,,545,,265,,280
Mother tongue,              Serbo-Croatian,,60,,30,,30
Mother tongue,              Slovak,,110,,50,,65
Mother tongue,              Slovene (Slovenian),,170,,65,,105
Mother tongue,              Ukrainian,,935,,400,,530
Mother tongue,              Slavic languages; n.i.e.,,10,,5,,5
Mother tongue,          Celtic languages,,0,,0,,5
Mother tongue,            Scottish Gaelic,,0,,0,,0
Mother tongue,            Welsh,,0,,0,,0
Mother tongue,            Celtic languages; n.i.e.,,5,,0,,0
Mother tongue,          Germanic languages,,1550,,695,,855
Mother tongue,            Afrikaans,,25,,5,,15
Mother tongue,            Danish,,25,,5,,20
Mother tongue,            Dutch,,145,,60,,85
Mother tongue,            Frisian,,0,,0,,0
Mother tongue,            German,,630,,295,,335
Mother tongue,            Icelandic,,5,,5,,5
Mother tongue,            Norwegian,,10,,0,,5
Mother tongue,            Swedish,,10,,5,,10
Mother tongue,            Vlaams (Flemish),,5,,5,,0
Mother tongue,            Yiddish,,705,,315,,390
Mother tongue,            Germanic languages; n.i.e.,,0,,0,,0
Mother tongue,          Greek,,1565,,730,,830
Mother tongue,          Indo-Iranian languages,,22215,,11020,,11200
Mother tongue,            Indo-Aryan languages,,15095,,7485,,7610
Mother tongue,              Bengali,,475,,235,,240
Mother tongue,              Gujarati,,2620,,1290,,1335
Mother tongue,              Hindi,,1565,,765,,800
Mother tongue,              Kashmiri,,5,,5,,5
Mother tongue,              Konkani,,25,,10,,10
Mother tongue,              Marathi,,110,,50,,65
Mother tongue,              Nepali,,15,,5,,10
Mother tongue,              Oriya (Odia),,15,,5,,5
Mother tongue,              Punjabi (Panjabi),,4760,,2400,,2360
Mother tongue,              Sindhi,,155,,80,,75
Mother tongue,              Sinhala (Sinhalese),,225,,110,,115
Mother tongue,              Urdu,,5120,,2525,,2595
Mother tongue,            Iranian languages,,7070,,3510,,3560
Mother tongue,              Kurdish,,340,,190,,150
Mother tongue,              Pashto,,130,,55,,70
Mother tongue,              Persian (Farsi),,6605,,3260,,3340
Mother tongue,            Indo-Iranian languages; n.i.e.,,55,,30,,30
Mother tongue,          Italic (Romance) languages,,51600,,24465,,27135
Mother tongue,            Catalan,,0,,0,,0
Mother tongue,            Italian,,37405,,17750,,19655
Mother tongue,            Portuguese,,4350,,2030,,2315
Mother tongue,            Romanian,,2465,,1190,,1275
Mother tongue,            Spanish,,7365,,3485,,3885
Mother tongue,            Italic (Romance) languages; n.i.e.,,15,,5,,10
Mother tongue,        Japanese,,155,,50,,105
Mother tongue,        Kartvelian languages,,110,,60,,50
Mother tongue,          Georgian,,105,,55,,50
Mother tongue,        Korean,,4170,,2010,,2160
Mother tongue,        Mongolic languages,,10,,0,,5
Mother tongue,          Mongolian,,5,,0,,5
Mother tongue,        Niger-Congo languages,,580,,290,,290
Mother tongue,          Akan (Twi),,250,,125,,125
Mother tongue,          Bamanankan,,0,,0,,0
Mother tongue,          Edo,,15,,10,,5
Mother tongue,          Ewe,,15,,5,,10
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0
Mother tongue,          Ga,,10,,5,,5
Mother tongue,          Ganda,,5,,0,,5
Mother tongue,          Igbo,,85,,40,,45
Mother tongue,          Lingala,,0,,0,,0
Mother tongue,          Rundi (Kirundi),,0,,0,,0
Mother tongue,          Kinyarwanda (Rwanda),,5,,0,,0
Mother tongue,          Shona,,10,,5,,5
Mother tongue,          Swahili,,30,,20,,15
Mother tongue,          Wolof,,0,,0,,0
Mother tongue,          Yoruba,,105,,55,,50
Mother tongue,          Niger-Congo languages; n.i.e.,,50,,20,,25
Mother tongue,        Nilo-Saharan languages,,5,,5,,0
Mother tongue,          Dinka,,0,,0,,0
Mother tongue,          Nilo-Saharan languages; n.i.e.,,5,,5,,5
Mother tongue,        Sign languages,,45,,25,,15
Mother tongue,          American Sign Language,,5,,0,,0
Mother tongue,          Quebec Sign Language,,0,,0,,0
Mother tongue,          Sign languages; n.i.e,,40,,25,,15
Mother tongue,        Sino-Tibetan languages,,16510,,7770,,8740
Mother tongue,          Chinese languages,,16455,,7745,,8710
Mother tongue,            Cantonese,,6310,,2955,,3355
Mother tongue,            Hakka,,245,,120,,125
Mother tongue,            Mandarin,,8860,,4185,,4675
Mother tongue,            Min Dong,,5,,5,,5
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,580,,265,,320
Mother tongue,            Wu (Shanghainese),,175,,85,,95
Mother tongue,            Chinese; n.o.s.,,275,,135,,140
Mother tongue,            Chinese languages; n.i.e.,,10,,5,,5
Mother tongue,          Tibeto-Burman languages,,50,,25,,25
Mother tongue,            Burmese,,40,,15,,25
Mother tongue,            Karenic languages,,0,,0,,0
Mother tongue,            Tibetan,,0,,0,,0
Mother tongue,            Tibeto-Burman languages; n.i.e.,,10,,5,,0
Mother tongue,        Tai-Kadai languages,,245,,100,,140
Mother tongue,          Lao,,190,,85,,105
Mother tongue,          Thai,,50,,20,,35
Mother tongue,          Tai-Kadai languages; n.i.e,,0,,0,,0
Mother tongue,        Turkic languages,,1455,,735,,715
Mother tongue,          Azerbaijani,,140,,75,,65
Mother tongue,          Turkish,,1245,,630,,610
Mother tongue,          Uyghur,,0,,0,,0
Mother tongue,          Uzbek,,45,,20,,25
Mother tongue,          Turkic languages; n.i.e.,,30,,15,,15
Mother tongue,        Uralic languages,,975,,440,,540
Mother tongue,          Estonian,,25,,10,,10
Mother tongue,          Finnish,,50,,15,,30
Mother tongue,          Hungarian,,910,,410,,495
Mother tongue,          Uralic languages; n.i.e.,,0,,0,,0
Mother tongue,        Other languages; n.i.e.,,30,,15,,15
Mother tongue,  Multiple responses,,12445,,5960,,6490
Mother tongue,    English and French,,470,,210,,260
Mother tongue,    English and non-official language,,11310,,5460,,5855
Mother tongue,    French and non-official language,,315,,135,,180
Mother tongue,    English; French and non-official language,,350,,150,,195
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,19,304645,,148590,,156050
Language spoken most often at home,  Single responses,,273950,,133860,,140090
Language spoken most often at home,    Official languages,,195730,,97095,,98635
Language spoken most often at home,      English,,195025,,96795,,98225
Language spoken most often at home,      French,,710,,305,,405
Language spoken most often at home,    Non-official languages,,78215,,36760,,41455
Language spoken most often at home,      Aboriginal languages,,5,,0,,5
Language spoken most often at home,        Algonquian languages,,0,,0,,0
Language spoken most often at home,          Blackfoot,,0,,0,,0
Language spoken most often at home,          Cree-Montagnais languages,,0,,0,,0
Language spoken most often at home,            Atikamekw,,0,,0,,0
Language spoken most often at home,            Montagnais (Innu),,0,,0,,0
Language spoken most often at home,            Moose Cree,,0,,0,,0
Language spoken most often at home,            Naskapi,,0,,0,,0
Language spoken most often at home,            Northern East Cree,,0,,0,,0
Language spoken most often at home,            Plains Cree,,0,,0,,0
Language spoken most often at home,            Southern East Cree,,0,,0,,0
Language spoken most often at home,            Swampy Cree,,0,,0,,0
Language spoken most often at home,            Woods Cree,,0,,0,,0
Language spoken most often at home,            Cree; n.o.s.,,0,,0,,0
Language spoken most often at home,          Eastern Algonquian languages,,0,,0,,0
Language spoken most often at home,            Malecite,,0,,0,,0
Language spoken most often at home,            Mi'kmaq,,0,,0,,0
Language spoken most often at home,          Ojibway-Potawatomi languages,,0,,0,,0
Language spoken most often at home,            Algonquin,,0,,0,,0
Language spoken most often at home,            Ojibway,,0,,0,,0
Language spoken most often at home,            Oji-Cree,,0,,0,,0
Language spoken most often at home,            Ottawa (Odawa),,0,,0,,0
Language spoken most often at home,          Algonquian languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Athabaskan languages,,0,,0,,0
Language spoken most often at home,          Northern Athabaskan languages,,0,,0,,0
Language spoken most often at home,            Babine (Wetsuwet'en),,0,,0,,0
Language spoken most often at home,            Beaver,,0,,0,,0
Language spoken most often at home,            Carrier,,0,,0,,0
Language spoken most often at home,            Chilcotin,,0,,0,,0
Language spoken most often at home,            Dene,,0,,0,,0
Language spoken most often at home,            Dogrib (Tlicho),,0,,0,,0
Language spoken most often at home,            Gwich'in,,0,,0,,0
Language spoken most often at home,            Sarsi (Sarcee),,0,,0,,0
Language spoken most often at home,            Sekani,,0,,0,,0
Language spoken most often at home,            Slavey-Hare languages,,0,,0,,0
Language spoken most often at home,              North Slavey (Hare),,0,,0,,0
Language spoken most often at home,              South Slavey,,0,,0,,0
Language spoken most often at home,              Slavey; n.o.s.,,0,,0,,0
Language spoken most often at home,            Tahltan languages,,0,,0,,0
Language spoken most often at home,              Kaska (Nahani),,0,,0,,0
Language spoken most often at home,              Tahltan,,0,,0,,0
Language spoken most often at home,            Tutchone languages,,0,,0,,0
Language spoken most often at home,              Northern Tutchone,,0,,0,,0
Language spoken most often at home,              Southern Tutchone,,0,,0,,0
Language spoken most often at home,          Athabaskan languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Haida,,0,,0,,0
Language spoken most often at home,        Inuit languages,,0,,0,,0
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0,,0,,0
Language spoken most often at home,          Inuktitut,,0,,0,,0
Language spoken most often at home,          Inuit languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Iroquoian languages,,0,,0,,0
Language spoken most often at home,          Cayuga,,0,,0,,0
Language spoken most often at home,          Mohawk,,0,,0,,0
Language spoken most often at home,          Oneida,,0,,0,,0
Language spoken most often at home,          Iroquoian languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Kutenai,,0,,0,,0
Language spoken most often at home,        Michif,,0,,0,,0
Language spoken most often at home,        Salish languages,,0,,0,,0
Language spoken most often at home,          Comox,,0,,0,,0
Language spoken most often at home,          Halkomelem,,0,,0,,0
Language spoken most often at home,          Lillooet,,0,,0,,0
Language spoken most often at home,          Okanagan,,0,,0,,0
Language spoken most often at home,          Shuswap (Secwepemctsin),,0,,0,,0
Language spoken most often at home,          Squamish,,0,,0,,0
Language spoken most often at home,          Straits,,0,,0,,0
Language spoken most often at home,          Thompson (Ntlakapamux),,0,,0,,0
Language spoken most often at home,          Salish languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Siouan languages,,0,,0,,0
Language spoken most often at home,          Dakota,,0,,0,,0
Language spoken most often at home,          Stoney,,0,,0,,0
Language spoken most often at home,          Siouan languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Tlingit,,0,,0,,0
Language spoken most often at home,        Tsimshian languages,,0,,0,,0
Language spoken most often at home,          Gitxsan (Gitksan),,0,,0,,0
Language spoken most often at home,          Nisga'a,,0,,0,,0
Language spoken most often at home,          Tsimshian,,0,,0,,0
Language spoken most often at home,        Wakashan languages,,0,,0,,0
Language spoken most often at home,          Haisla,,0,,0,,0
Language spoken most often at home,          Heiltsuk,,0,,0,,0
Language spoken most often at home,          Kwakiutl (Kwak'wala),,0,,0,,0
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,,0,,0
Language spoken most often at home,          Wakashan languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Aboriginal languages; n.o.s.,,0,,0,,5
Language spoken most often at home,      Non-Aboriginal languages,,78215,,36765,,41455
Language spoken most often at home,        Afro-Asiatic languages,,4850,,2395,,2455
Language spoken most often at home,          Berber languages,,0,,0,,0
Language spoken most often at home,            Kabyle,,0,,0,,0
Language spoken most often at home,            Berber languages; n.i.e.,,0,,0,,0
Language spoken most often at home,          Cushitic languages,,45,,25,,20
Language spoken most often at home,            Bilen,,0,,0,,0
Language spoken most often at home,            Oromo,,5,,0,,5
Language spoken most often at home,            Somali,,40,,25,,20
Language spoken most often at home,            Cushitic languages; n.i.e.,,0,,0,,0
Language spoken most often at home,          Semitic languages,,4800,,2370,,2435
Language spoken most often at home,            Amharic,,35,,15,,20
Language spoken most often at home,            Arabic,,1270,,620,,650
Language spoken most often at home,            Assyrian Neo-Aramaic,,955,,430,,525
Language spoken most often at home,            Chaldean Neo-Aramaic,,255,,125,,130
Language spoken most often at home,            Harari,,0,,0,,0
Language spoken most often at home,            Hebrew,,2145,,1115,,1030
Language spoken most often at home,            Maltese,,30,,15,,20
Language spoken most often at home,            Tigrigna,,40,,20,,20
Language spoken most often at home,            Semitic languages; n.i.e.,,65,,25,,40
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Austro-Asiatic languages,,2955,,1335,,1620
Language spoken most often at home,          Khmer (Cambodian),,240,,105,,135
Language spoken most often at home,          Vietnamese,,2715,,1225,,1485
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,,0,,0,,0
Language spoken most often at home,        Austronesian languages,,2105,,875,,1230
Language spoken most often at home,          Bikol,,0,,0,,0
Language spoken most often at home,          Cebuano,,30,,10,,20
Language spoken most often at home,          Fijian,,0,,0,,0
Language spoken most often at home,          Hiligaynon,,0,,0,,5
Language spoken most often at home,          Ilocano,,155,,70,,85
Language spoken most often at home,          Malagasy,,0,,0,,0
Language spoken most often at home,          Malay,,50,,25,,25
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),,10,,5,,5
Language spoken most often at home,          Pangasinan,,5,,0,,0
Language spoken most often at home,          Tagalog (Pilipino; Filipino),,1855,,765,,1095
Language spoken most often at home,          Waray-Waray,,5,,0,,0
Language spoken most often at home,          Austronesian languages; n.i.e.,,0,,0,,5
Language spoken most often at home,        Creole languages,,40,,20,,15
Language spoken most often at home,          Haitian Creole,,0,,0,,0
Language spoken most often at home,          Creole; n.o.s.,,25,,10,,15
Language spoken most often at home,          Creole languages; n.i.e.,,5,,5,,5
