"﻿""REF_DATE""",GEO,DGUID,Investment status,Ownership type,Property type,Period of construction,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Average total living area,Square feet,279,units,0,v1484730203,387.1.1.1.4.6,1830,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Median total living area,Square feet,279,units,0,v1484730204,387.1.1.1.4.7,1710,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Number,Number,223,units,0,v1484730205,387.1.1.1.5.1,9050,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Percentage - investment status,Percent,239,units,0,v1484730206,387.1.1.1.5.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Average assessment value,Dollars,81,units,0,v1484730207,387.1.1.1.5.3,580000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Median assessment value,Dollars,81,units,0,v1484730208,387.1.1.1.5.4,569000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Total assessment value,Dollars,81,units,0,v1484730209,387.1.1.1.5.5,5199200000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Average total living area,Square feet,279,units,0,v1484730210,387.1.1.1.5.6,2100,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1981 to 1990,Median total living area,Square feet,279,units,0,v1484730211,387.1.1.1.5.7,1930,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Number,Number,223,units,0,v1484730212,387.1.1.1.6.1,9900,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Percentage - investment status,Percent,239,units,0,v1484730213,387.1.1.1.6.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Average assessment value,Dollars,81,units,0,v1484730214,387.1.1.1.6.3,550000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Median assessment value,Dollars,81,units,0,v1484730215,387.1.1.1.6.4,500000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Total assessment value,Dollars,81,units,0,v1484730216,387.1.1.1.6.5,5390400000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Average total living area,Square feet,279,units,0,v1484730217,387.1.1.1.6.6,1830,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1991 to 2000,Median total living area,Square feet,279,units,0,v1484730218,387.1.1.1.6.7,1600,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Number,Number,223,units,0,v1484730219,387.1.1.1.7.1,6845,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Percentage - investment status,Percent,239,units,0,v1484730220,387.1.1.1.7.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Average assessment value,Dollars,81,units,0,v1484730221,387.1.1.1.7.3,600000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Median assessment value,Dollars,81,units,0,v1484730222,387.1.1.1.7.4,532000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Total assessment value,Dollars,81,units,0,v1484730223,387.1.1.1.7.5,4051200000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Average total living area,Square feet,279,units,0,v1484730224,387.1.1.1.7.6,1940,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2001 to 2005,Median total living area,Square feet,279,units,0,v1484730225,387.1.1.1.7.7,1720,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Number,Number,223,units,0,v1484730226,387.1.1.1.8.1,4345,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Percentage - investment status,Percent,239,units,0,v1484730227,387.1.1.1.8.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Average assessment value,Dollars,81,units,0,v1484730228,387.1.1.1.8.3,620000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Median assessment value,Dollars,81,units,0,v1484730229,387.1.1.1.8.4,559000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Total assessment value,Dollars,81,units,0,v1484730230,387.1.1.1.8.5,2610700000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Average total living area,Square feet,279,units,0,v1484730231,387.1.1.1.8.6,1970,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2006 to 2010,Median total living area,Square feet,279,units,0,v1484730232,387.1.1.1.8.7,1810,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Number,Number,223,units,0,v1484730233,387.1.1.1.9.1,3575,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Percentage - investment status,Percent,239,units,0,v1484730234,387.1.1.1.9.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Average assessment value,Dollars,81,units,0,v1484730235,387.1.1.1.9.3,520000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Median assessment value,Dollars,81,units,0,v1484730236,387.1.1.1.9.4,386000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Total assessment value,Dollars,81,units,0,v1484730237,387.1.1.1.9.5,1790100000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Average total living area,Square feet,279,units,0,v1484730238,387.1.1.1.9.6,1590,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2011 to 2015,Median total living area,Square feet,279,units,0,v1484730239,387.1.1.1.9.7,1260,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Number,Number,223,units,0,v1484730240,387.1.1.1.10.1,1895,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Percentage - investment status,Percent,239,units,0,v1484730241,387.1.1.1.10.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Average assessment value,Dollars,81,units,0,v1484730242,387.1.1.1.10.3,,..,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Median assessment value,Dollars,81,units,0,v1484730243,387.1.1.1.10.4,,..,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Total assessment value,Dollars,81,units,0,v1484730244,387.1.1.1.10.5,,..,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Average total living area,Square feet,279,units,0,v1484730245,387.1.1.1.10.6,1490,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",2016 to reference period,Median total living area,Square feet,279,units,0,v1484730246,387.1.1.1.10.7,809,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Number,Number,223,units,0,v1484730247,387.1.1.1.12.1,675,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Percentage - investment status,Percent,239,units,0,v1484730248,387.1.1.1.12.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Average assessment value,Dollars,81,units,0,v1484730249,387.1.1.1.12.3,760000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Median assessment value,Dollars,81,units,0,v1484730250,387.1.1.1.12.4,541000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Total assessment value,Dollars,81,units,0,v1484730251,387.1.1.1.12.5,308000000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Average total living area,Square feet,279,units,0,v1484730252,387.1.1.1.12.6,,..,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",Not applicable,Median total living area,Square feet,279,units,0,v1484730253,387.1.1.1.12.7,,..,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Number,Number,223,units,0,v1484730254,387.1.1.2.1.1,37360,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Percentage - investment status,Percent,239,units,0,v1484730255,387.1.1.2.1.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Average assessment value,Dollars,81,units,0,v1484730256,387.1.1.2.1.3,680000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Median assessment value,Dollars,81,units,0,v1484730257,387.1.1.2.1.4,616000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Total assessment value,Dollars,81,units,0,v1484730258,387.1.1.2.1.5,24792800000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Average total living area,Square feet,279,units,0,v1484730259,387.1.1.2.1.6,2200,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,"Total, all periods of construction",Median total living area,Square feet,279,units,0,v1484730260,387.1.1.2.1.7,2040,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Number,Number,223,units,0,v1484730261,387.1.1.2.2.1,8370,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Percentage - investment status,Percent,239,units,0,v1484730262,387.1.1.2.2.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Average assessment value,Dollars,81,units,0,v1484730263,387.1.1.2.2.3,630000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Median assessment value,Dollars,81,units,0,v1484730264,387.1.1.2.2.4,577000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Total assessment value,Dollars,81,units,0,v1484730265,387.1.1.2.2.5,5182300000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Average total living area,Square feet,279,units,0,v1484730266,387.1.1.2.2.6,1940,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1960 or earlier,Median total living area,Square feet,279,units,0,v1484730267,387.1.1.2.2.7,1780,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Number,Number,223,units,0,v1484730268,387.1.1.2.3.1,6060,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Percentage - investment status,Percent,239,units,0,v1484730269,387.1.1.2.3.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Average assessment value,Dollars,81,units,0,v1484730270,387.1.1.2.3.3,630000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Median assessment value,Dollars,81,units,0,v1484730271,387.1.1.2.3.4,561000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Total assessment value,Dollars,81,units,0,v1484730272,387.1.1.2.3.5,3711300000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Average total living area,Square feet,279,units,0,v1484730273,387.1.1.2.3.6,1960,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1961 to 1970,Median total living area,Square feet,279,units,0,v1484730274,387.1.1.2.3.7,1810,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Number,Number,223,units,0,v1484730275,387.1.1.2.4.1,6985,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Percentage - investment status,Percent,239,units,0,v1484730276,387.1.1.2.4.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Average assessment value,Dollars,81,units,0,v1484730277,387.1.1.2.4.3,600000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Median assessment value,Dollars,81,units,0,v1484730278,387.1.1.2.4.4,545000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Total assessment value,Dollars,81,units,0,v1484730279,387.1.1.2.4.5,4113400000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Average total living area,Square feet,279,units,0,v1484730280,387.1.1.2.4.6,2100,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1971 to 1980,Median total living area,Square feet,279,units,0,v1484730281,387.1.1.2.4.7,1930,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Number,Number,223,units,0,v1484730282,387.1.1.2.5.1,5995,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Percentage - investment status,Percent,239,units,0,v1484730283,387.1.1.2.5.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Average assessment value,Dollars,81,units,0,v1484730284,387.1.1.2.5.3,690000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Median assessment value,Dollars,81,units,0,v1484730285,387.1.1.2.5.4,637000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Total assessment value,Dollars,81,units,0,v1484730286,387.1.1.2.5.5,4054300000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Average total living area,Square feet,279,units,0,v1484730287,387.1.1.2.5.6,2400,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1981 to 1990,Median total living area,Square feet,279,units,0,v1484730288,387.1.1.2.5.7,2250,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Number,Number,223,units,0,v1484730289,387.1.1.2.6.1,4025,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Percentage - investment status,Percent,239,units,0,v1484730290,387.1.1.2.6.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Average assessment value,Dollars,81,units,0,v1484730291,387.1.1.2.6.3,760000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Median assessment value,Dollars,81,units,0,v1484730292,387.1.1.2.6.4,681000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Total assessment value,Dollars,81,units,0,v1484730293,387.1.1.2.6.5,2992400000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Average total living area,Square feet,279,units,0,v1484730294,387.1.1.2.6.6,2400,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,1991 to 2000,Median total living area,Square feet,279,units,0,v1484730295,387.1.1.2.6.7,2300,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Number,Number,223,units,0,v1484730296,387.1.1.2.7.1,2890,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Percentage - investment status,Percent,239,units,0,v1484730297,387.1.1.2.7.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Average assessment value,Dollars,81,units,0,v1484730298,387.1.1.2.7.3,810000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Median assessment value,Dollars,81,units,0,v1484730299,387.1.1.2.7.4,738000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Total assessment value,Dollars,81,units,0,v1484730300,387.1.1.2.7.5,2296300000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Average total living area,Square feet,279,units,0,v1484730301,387.1.1.2.7.6,2600,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2001 to 2005,Median total living area,Square feet,279,units,0,v1484730302,387.1.1.2.7.7,2450,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Number,Number,223,units,0,v1484730303,387.1.1.2.8.1,1750,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Percentage - investment status,Percent,239,units,0,v1484730304,387.1.1.2.8.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Average assessment value,Dollars,81,units,0,v1484730305,387.1.1.2.8.3,840000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Median assessment value,Dollars,81,units,0,v1484730306,387.1.1.2.8.4,721000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Total assessment value,Dollars,81,units,0,v1484730307,387.1.1.2.8.5,1431200000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Average total living area,Square feet,279,units,0,v1484730308,387.1.1.2.8.6,2700,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2006 to 2010,Median total living area,Square feet,279,units,0,v1484730309,387.1.1.2.8.7,2430,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Number,Number,223,units,0,v1484730310,387.1.1.2.9.1,900,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Percentage - investment status,Percent,239,units,0,v1484730311,387.1.1.2.9.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Average assessment value,Dollars,81,units,0,v1484730312,387.1.1.2.9.3,1000000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Median assessment value,Dollars,81,units,0,v1484730313,387.1.1.2.9.4,832000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Total assessment value,Dollars,81,units,0,v1484730314,387.1.1.2.9.5,854400000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Average total living area,Square feet,279,units,0,v1484730315,387.1.1.2.9.6,3000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types",Single-detached house,2011 to 2015,Median total living area,Square feet,279,units,0,v1484730316,387.1.1.2.9.7,2850,,,,0
